sample_id,sanskrit_sloka,sanskrit_prose,english_sloka,english_prose,bleu_score
1,धर्मस्यपुत्रोबलवान्सुषेणइतिविश्रुतः सविद्युन्मालिनासार्धमयुध्यतमहाकपिः वानराश्चापरेभीमाराक्षसैरपरैस्सह द्वन्द्वंसमीयुस्सहसायुद्धायबहुभिस्सह,धर्मस्यपुत्रो बलवान्सुषेण इति विश्रुतः सविद्युन्मालिना सार्धमयुध्यत महाकपिः घोराः अपरे वानराश्च बहुभिःसह युद्धायच अपरैः राक्षसैःसह द्वन्द्वंसमीयुः,"When the Son of God heard the sound of God's trumpet, they were afraid to go to war with the devil, the devil, the serpent, the beast, the dragon, and the dragon. They were afraid to go to war with the world and with the devil.","I have heard that the Son of God is coming with great power. He is at war with great horsemen and devils, with horses and wild beasts, and with many other demons.",6.9784237734830254
2,शबला सा रुदन्ती च क्रोशन्ती चेदमब्रवीत्वसिष्ठस्याग्रतस्स्थित्वा मेघदुन्दुभिराविणी,सा शबला रुदन्ती च क्रोशन्ती च वसिष्ठस्य अग्रत: स्थित्वा मेघदुन्दुभिराविणी इदम् अब्रवीत्,"She wept and wept, and she was filled with fury.","And she stood before him, weeping and gnashing of teeth.",4.789232204309912
3,तप्तकाञ्चनवर्णाभा रक्ततुङ्गनखी शुभासीता नाम वरारोहा वैदेही तनुमध्यमा,तप्तकाञ्चनवर्णाभा रक्ततुङ्गनखी शुभा वैदेही तनुमध्यमा सीता नाम वरारोहा,"and seven cups of pure blood. The cup is called the ""Wrath of God "" and is set in the midst of them.","There were seven bowls full of blood, and in the midst of them there stood a man named Cethas.",16.081986819293682
4,स कृत्वा भैरवं नादं चालयन्निव मेदिनीम्अङ्केनादाय वैदेहीमपक्रम्य ततोऽब्रवीत्,ततः सः मेदिनीम् चालयन्निव भैरवम् नादम् कृत्वा वैदेहीम् अङ्केन आदाय अपक्रम्य अब्रवीत्,"So he went to Bethlehem, in the valley of the shadow of the sea, and said,","Then he called out in a loud voice: ""Go to the sea. "" Then he threw the sick man into the water,",3.961393797941288
5,तस्य पाण्डुरमाजह्रुश्छत्रं हेमपरिष्कृतम् शुक्ले च वालव्यजने हेमदण्डे यशस्करेतथा सर्वाणि रत्नानि सर्वबीजौषधीरपि सक्षीराणां च वृक्षाणां प्ररोहान्कुसुमानि चशुक्लानि चैव वस्त्राणि श्वेतं चैवानुलेपनम् सुगन्धीनि च माल्यानि स्थलजान्यम्बुजानि चचन्दनानि च दिव्यानि गन्धांश्च विविधान्बहून् अक्षतं जातरूपं च प्रियङ्गुमधुसर्पिषीदधि चर्म च वैयाघ्रं वाराही चाप्युपानहौ समालम्भनमादाय रोचनां समनश्शिलाम्आग्मुस्तत्र मुदिता वराः कन्यास्तु षोडश,पाण्डुरम् हेमपरिष्कृतम् छत्रम् हेमदण्डे यशस्करे शुक्ले वालव्यजने च तस्य आजह्रुः तथा षोडश मुदिताः वराः कन्याश्च सर्वाणि रत्नानि सर्वबीजौषधीरपि सक्षीराणाम् वृक्षाणाम् प्ररोहान् कुसुमानि च शुक्लानि वस्त्राणि चैव श्वेतम् अनुलेपनं चैव सुगन्धीनि माल्यानि स्थलजानि अम्बुजानि च दिव्यानि चन्दनानि च विविधान् बहून् गन्धांश्च अक्षतम् जातरूपं च प्रियङ्गुमधुसर्पिषी दधि वैघ्रम् चर्म च वाराही उपानहौ समालम्बनम् रोचनां मनश्शिलाम् आदाय तत्र आजग्मुः,"She was dressed in fine linen, purple and sapphire, and scarlet, and gold, and gold, and gold, and gold, and gold, and silver, and gold, and scarlet, and gold, and gold, and gold, and silver, and gold, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold, and silver, and gold.","These were gold, gold, copper, bronze, bronze, gold, gold, silver, gold, gold, silver, gold, silver, gold, silver, gold, silver, gold, silver, gold, silver, gold, silver, gold, gold, silver, gold, silver, gold, silver, gold, gold, silver, gold, silver, gold, silver, gold, gold, silver, gold, gold, silver, gold, gold, silver, gold, gold, silver, gold, gold, silver, gold, silver, gold, silver, gold, gold, silver, gold, silver, gold, silver, gold, gold, silver, gold, silver, gold, gold, silver, gold, silver, and gold.",8.061203745774911
6,सकुन्भकर्णंकुपितोमहेन्द्रोजघानवज्रेणशितेनवज्री सशक्रवज्राभिहतोमहात्माचचालकोपाच्चभृशंननाद,वज्री सः महेन्द्रः कुपितः कुम्भकर्णम् वज्रेण जघान शक्रवज्राभिहतः महात्मा सः चचाल कोपात् भृशम् ननाद च,"The sound of the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets, the trumpets and the trumpets.","The storm, the moon, the furnace, the thunderbolt, the thunderbolt, the roaring furnace, the roaring furnace, the roaring furnace,",1.3866656266226856
7,स प्रणम्य च सुग्रीवं राघवौ च महाबलौवानरैः सहितः शूरैर्दिवमेवोत्पपात ह,सः सुग्रीवम् महाबलौ राघवौ च प्रणम्य शूरैः वानरैः सहितः दिवमेव उत्पपात,"He will be thrown into the valley of the shadow of death, along with the mighty warriors, the mighty and the mighty.","And it came to pass in the daytime with the swift and the mighty and the mighty, and the mighty and the mighty,",19.422069098763885
8,हनूमन्तंजिघांसन्तंसमुद्यतशरासनम् रावणात्मजमाचष्टे लक्ष्मणाय विभीषण:,विभीषणः समुद्यतशरासनम् रावणात्मजम् हनूमन्तम् जिघांसन्तम् लक्ष्मणाय आचष्टे,"And he said to him, Behold, I am coming, and I am coming, and I am coming.","The sea was filled with fear, and Ravan's spirit was filled with awe, and Hanun's tongue was filled with awe.",4.9360602482382925
9,इह माल्यानि सर्वाणि दिव्यगन्धानि मैथिलि भूषणानि च मुख्यानि सेवस्व च मया सह,मैथिलि इह दिव्यगन्धानि सर्वाणि माल्यानि मुख्यानि भूषणानि च मया सह सेवस्व,"I am also in charge of all the treasures, treasures, tables, tables, tables, and tables.",May you share with me the mystery of God and all his gifts and gifts.,2.7156804039319287
10,अनेन तोषितश्चाभूदत्यर्थं रघुनन्दन विससर्ज ततो गङ्गां हरो बिन्दुसर: प्रति,रघुनन्दन अनेन हर: अत्यर्थम् तोषित: अभूत् तत: गङ्गाम् बिन्दुसर: प्रति विससर्ज,"Then he poured out his blood on the woman, and the water became bitter.","And there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy, and there was a great joy.",0.07721214390376527
11,नैऋतो रावणो नाम तस्य भार्यां हरिष्यतिराक्षसेन्द्रो जनस्थनादवध्य स्सुरदानवैः,सुरदानवैः अवध्यः राक्षसेन्द्रो रावणो नाम जनस्थनात् नैऋतो तस्य भार्यां हरिष्यति,"The woman's name is Ravana, and she lives in Rajasthan.","A raven named Ravana, who was born in Surdhan, was burdened with sickness.",5.771298850643905
12,स यात्वा दूरमध्वानं सुपरिश्रान्तवाहनः उवाच भरत श्श्रीमान् वसिष्ठं मन्त्रिणां वरम्,श्रीमान् सः भरतः दूरम् अध्वानम् यात्वा सुपरिश्रान्तवाहनः मन्त्रिणाम् वरम् वसिष्ठम् उवाच,"He has given authority to the wise and wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, to the wise, and to the wise.","The rich man was invited far away because his spirit was quiet, and he trusted the ministers.",0.4437525336051529
13,तस्मात्त्वयासमारब्धंकर्मह्यप्रतिमंपरैः अहंसमीकरिष्यामिहत्वाशत्रूंस्तवानघ,आनघ: तस्मात् त्वया: परैः समारब्दम् अप्रतिमम् कर्म: अहम् तव: शत्रून् हत्वा: समीकरिष्यामि:,"""I will bring you nearer than anyone else who is in prison.","And thou shalt say, I will bring thee near, and I will destroy thine enemies.",8.536297264022483
14,एवमुक्तः सुरसया प्राञ्जलिर्वानरर्षभःप्रहृष्टवदनः श्रीमानिदं वचनमब्रवीत्,सुरसया एवम् उक्तः श्रीमान् वानरर्षभः वहतत प्रहृष्टवदनः प्राञ्जलिः इदं वचनम् अब्रवीत्,"When he heard this, he heard a loud voice from the streets of Syracuse.","This was the voice of the rich man, who cried out in a loud voice.",10.569646130410534
15,इमास्ता मन्मथवतां हिताः प्रतिहता दिशःअनुलिप्ता इव घनैर्नष्टग्रहनिशाकराः,मन्मथवताम् हिताः प्रतिहताः नष्टग्रहनिशाकराः इमाः ताः दिशः घनैः अनुलिप्ता इव,"These are the very things that make you sick. They are the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick, the very things that make you sick.",They are like the serpents that pierce the earth. They are like the serpents that pierce the earth.,1.3955763429746137
16,तं देशं समतिक्रम्य आश्रमं सिद्धसेवितम्सिद्धा वैखानसास्तत्र वालखिल्याश्च तापसाः,तं देशम् समतिक्रम्य सिद्धसेवितम् आश्रमम् तत्र सिद्धाः वैखानसाः तापसाः वालखिल्याश्च,"He was well equipped to serve the people of the land, and he was warmed with sand and gravel.","The city was surrounded by temples, shrines, temples, and shrines.",4.319402267866687
