sample_id,sanskrit_sloka,sanskrit_prose,english_sloka,english_prose,chrf_sloka_e1,chrf_prose_e2,chrf_e1_e2,bertscore_precision,bertscore_recall,bertscore_f1
1,कृत्वा निश्शब्दमेकाग्रा श्श्रुण्वन्तु हरयो ममतत्वं सङ्कीर्तयिष्यामि यथा जानामि मैथिलीम्,हरयः मैथिलीम् यथा जानामि तत्वम् सङ्कीर्तयिष्यामि निश्शब्दम् कृत्वा एकाग्राः मम श्रुण्वन्तु,"Doing it quietly, I listened to my voice, and I'm going to sing it as I know it.","As I know, I will enclose the elements, silently and in a single voice.",0.0,0.0,24.410950170533788,0.902274,0.9022429,0.90225846
2,कामं वा स्वयमेवाद्य तत्र मां नेतुमर्हसियत्रासौ पुरुषव्याघ्रः पुत्रो मे तप्यते तपः,वा पुरुषव्याघ्रः मे पुत्रो असौ यत्र तपः तप्यते तत्र स्वयमेव अद्य माम् कामम् नेतुम् अर्हसि,"When there is a work or a self-development, there is a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a mother, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter, a daughter",Male or Tiger: I have sons and you should take me to work on your own wherever the heat goes.,0.0,0.0,7.082217513960888,0.69085026,0.81671417,0.7485281
3,अथतान्सचिवांस्तत्रसर्वानाभाष्यरावणः सभांसन्नादयन् सर्वामित्युवाचमहाबलः जगत्सन्तापन्क्रूरोगर्हयन्राक्षसेश्वरः,अथ महाबलः जगत्सन्तापनः क्रूरः राक्षसेश्वरः रावणः तत्र सर्वान् सचिवान् आभाष्य सर्वाम् सभाम् संवादयन् गर्हयन् इति उवाच,"Atatanschivanastatraसर्वानाभाष्यरावण: the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly, the assembly.",At this Mahabal: the end of the world: cruel: Rakshevar: Ravana: there all the secretaries and interpreters of the whole assembly were conversing.,3.6028317696633123,0.0,12.546120184907295,0.7512232,0.8289015,0.78815305
4,तं मत्तमातङ्गविलासगामी गच्छन्तमव्यग्रमना महात्मा स लक्ष्मणो राघवमप्रमत्तो ररक्ष धर्मेण बलेन चैव,मत्तमातङ्गविलासगामी महात्मा सः लक्ष्मणः गच्छन्तम् राघवम् अप्रमत्तो अव्यग्रमनाः धर्मेण बलेन चैव ररक्ष,Then Matmatangavillasagami Gachantamvyagarmana Mahatma Sam Lakshmana Raghavam Pramattho Rarkha Dharman Balen Chaiv,Matmatangavillasagami Mahatma He is the Lakshman: Gachantam Raghavam Apramattho Avyagramana: The Dharma of the Balen Chaiv Rakhsa,0.0,0.0,57.7918489122329,0.89516294,0.8972548,0.8962077
5,इतीव देवी बहुधा विलप्य सर्वात्मना राममनुस्मरन्तीप्रवेपमाना परिशुष्कवक्त्रा नगोत्तमं पुष्पितमाससाद,देवी इतीव बहुधा विलप्य सर्वात्मना रामम् अनुस्मरन्ती प्रवेपमाना परिशुष्कवक्त्रा पुष्पितम् नगोत्तमम् आससाद,"This goddess is often worshipped as the Supreme Being, Rammanusramanthi, and as the Divine Being, Parishushkhvaktra, Nagottam, and Flowersmassad.","The goddess is often wrapped in the soul of the soul of Ram, which is reminiscent of entrance into the heart of the soul, which is the purity of words, the flowering of the soul of the soul, and the blessing of the soul.",0.0,0.0,23.221143402144225,0.8093427,0.848937,0.8286671
6,अलम्बुसा मिश्रकेशी पुण्डरीकाऽथ वामनाउपानृत्यंस्तु भरतं भरद्वाजस्य शासनात्,अथ भरद्वाजस्य शासनात् अलम्बुसा मिश्रकेशी पुण्डरीका वामना भरतम् उपानृत्यन् तु,"Alhambusa Mishkashi Pundriyakaat left-handedness, and India was ruled by a swindler.","During the reign of Ath Bharadwaj, Alhambusa Mizrakeishi Pundrika was left in the hands of Bharat.",0.0,0.0,32.20905679334156,0.85548675,0.85333276,0.8544084
7,सर्वास्त्राणि भृशाश्वस्य पुत्रा: परमधार्मिका:कौशिकाय पुरा दत्ता यदा राज्यं प्रशासति,भृशाश्वस्य परमधार्मिका: पुत्रा: सर्वास्त्राणि यदा पुरा राज्यम् प्रशासति कौशिकाय दत्ता:,The son of the all-powerful Bhrishavassa: Paramadharmaika: Kaushikaay Pura Dutta when the kingdom is administered.,The devotee of Bhrashashashva: son: sabashastraani when the whole kingdom is administered.,0.3508771929824562,0.42408821034775224,43.38683130924156,0.87203014,0.8885642,0.8802195
8,ओष्ठप्रकारैरपरा वक्त्रनेत्रैस्तथापराःसीतामाश्वासयामासुस्तर्जितां तेन रक्षसा,तेन रक्षसा तर्जिताम् ताम् सीताम् अपराः ओष्ठप्रकारैः तथा अपराः वक्त्रनेत्रैः आश्वासयामासुः,Lips are not perfect words are not perfect words are not perfect words are not perfect words are not perfect words are not perfect words are not perfect words are not perfect words.,It protects them from harm and makes them more vulnerable to the consequences of their actions.,0.0,0.0,12.99964063849238,0.8008631,0.8565538,0.8277728
9,एवमुक्त्वाततस्तस्यजलक्लन्नेनपाणिना सुग्रीवस्यशुभेनेत्रेप्रममार्जविभीषणः,विभीषणः एवम् उक्त्वा ततः जलक्लिन्नेन पाणिना तस्यसुग्रीवस्य शुभे नेत्रे प्रममार्ज,"He freed himself from his waterlogging, from his waterlogging, from his well-being, and from the fear of death.","Vibhishn: And said, and then water cleansed the waters, and blessed the eyes of his subjects.",0.0,0.0,19.470462248332698,0.8477226,0.85063887,0.8491782
10,श्रृत्वैवोपस्थितौ वीरौ कदायोध्या भविष्यतियशस्विनी हृष्टजना सूच्छ्रितध्वजमालिनी,वीरौ उपस्थितौ श्रुत्वैव यशस्विनी अयोध्या हृष्टजना सूच्छ्रितध्वजमालिनी कदा भविष्यति,"In the presence of the workers, the heroes are sometimes prophesied by their owners.","The heroic presence of the hearth, Yashashashwini Ayodhya, and the humble ones will always be the flag-bearers.",0.0,0.0,27.236292167130678,0.870164,0.821252,0.8450007
